num,label,url
196,ransomware,4kqd3hmqgptupi3p.heldbegun.kim
197,ransomware,bqbbsfdw.be
198,ransomware,ffoqr3ug7m726zou.m3cvi8.top
199,ransomware,52uo5k3t73ypjije.3zotov.bid
200,ransomware,52uo5k3t73ypjije.vkm4l6.top
201,ransomware,3qbyaoohkcqkzrz6.tormain.li
202,ransomware,52uo5k3t73ypjije.80yabh.bid
203,ransomware,4kqd3hmqgptupi3p.b7mciu.top
204,ransomware,4kqd3hmqgptupi3p.z8ijgn.bid
205,ransomware,wjtqjleommc4z46i.hom07d.bid
206,ransomware,52uo5k3t73ypjije.9kxz23.bid
207,ransomware,vyohacxzoue32vvk.d7h6yx.top
208,ransomware,unocl45trpuoefft.barzc4.bid
209,ransomware,avsxrcoq2q5fgrw2.199ovv.top
210,ransomware,52uo5k3t73ypjije.56185u.bid
211,ransomware,ahuqfrqk54v3vnzj.kj3f52.bid
212,ransomware,unocl45trpuoefft.wlvxd6.bid
213,ransomware,p27dokhpz2n7nvgr.1gqqsc.top
214,ransomware,ffoqr3ug7m726zou.hajw7w.bid
215,ransomware,52uo5k3t73ypjije.50cs7p.bid
216,ransomware,lollyoff.info
217,ransomware,pmenboeqhyrpvomq.vkm4l6.top
218,ransomware,pmenboeqhyrpvomq.gnuvaw.bid
219,ransomware,xmniabhrfafptwx.pw
220,ransomware,ffoqr3ug7m726zou.x8p2m7.bid
221,ransomware,pmenboeqhyrpvomq.hwh75t.top
222,ransomware,wjtqjleommc4z46i.993hev.bid
223,ransomware,hjhqmbxyinislkkt.1pxbfh.top
224,ransomware,a64gfdsjhb4htbiwaysbdvukyft5q.zobodine.at
225,ransomware,3qbyaoohkcqkzrz6.tormaster.fr
226,ransomware,mz7oyb3v32vshcvk.torapples.li
227,ransomware,p27dokhpz2n7nvgr.1l4zyd.top
228,ransomware,52uo5k3t73ypjije.gvoafg.bid
229,ransomware,52uo5k3t73ypjije.gtnfgj.top
230,ransomware,arddxjkwrp.xyz
231,ransomware,twbers4hmi6dc65f.tor2web.org
232,ransomware,gfcuxnaek.ru
233,ransomware,p27dokhpz2n7nvgr.173w9w.top
234,ransomware,fnmi62725zfti2vy.vwgxhm.bid
235,ransomware,hjhqmbxyinislkkt.1fgsmc.top
236,ransomware,3qbyaoohkcqkzrz6.tordoor.li
237,ransomware,52uo5k3t73ypjije.bipnnp.bid
238,ransomware,52uo5k3t73ypjije.skri59.top
239,ransomware,lfdachijzuwx4bc4.ev99l6.bid
240,ransomware,unocl45trpuoefft.i1wcrl.bid
241,ransomware,unocl45trpuoefft.lzskva.bid
242,ransomware,4kqd3hmqgptupi3p.stageend.link
243,ransomware,hjhqmbxyinislkkt.1aqq5k.top
244,ransomware,52uo5k3t73ypjije.r2ok0b.bid
245,ransomware,hjhqmbxyinislkkt.127axt.top
246,ransomware,52uo5k3t73ypjije.86rhzr.bid
247,ransomware,52uo5k3t73ypjije.wz139z.top
248,ransomware,ahuqfrqk54v3vnzj.i81wik.bid
249,ransomware,vyohacxzoue32vvk.5m2n7x.top
250,ransomware,cerberhhyed5frqa.raress.win
251,ransomware,htankds.info
252,ransomware,tswsgajtwhqkosd.su
253,ransomware,fpashgkepwtoqdjg.pw
254,ransomware,p27dokhpz2n7nvgr.15rnwa.top
255,ransomware,4kqd3hmqgptupi3p.todaynine.loan
256,ransomware,ffoqr3ug7m726zou.8uvtsg.top
257,ransomware,52uo5k3t73ypjije.u50s89.bid
258,ransomware,hjhqmbxyinislkkt.14o2wp.top
259,ransomware,6g4ds.froekuge.com
260,ransomware,4kqd3hmqgptupi3p.91006j.bid
261,ransomware,3qbyaoohkcqkzrz6.torgateway.li
262,ransomware,kkd47eh4hdjshb5t.angortra.at
263,ransomware,qqonof.info
264,ransomware,unocl45trpuoefft.zjems2.bid
